City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,mata-utu,-13.2816,-176.1745,302.02,72,94,5.32,WF,1699846950
288,nuku'alofa,-21.1333,-175.2,294.34,94,100,5.14,TO,1699846950
289,shahr-e babak,30.1165,55.1186,286.59,23,67,1.96,IR,1699846950
290,evinayong,1.4368,10.5512,293.9,100,100,0.07,GQ,1699846950
291,aracati,-4.5617,-37.7697,298.5,79,0,4.77,BR,1699846950
292,willowmore,-33.2926,23.4895,283.09,76,0,1.44,ZA,1699846950
293,alakurtti,66.9672,30.3491,266.76,96,100,1.6,RU,1699846950
294,anshun,26.25,105.9333,279.76,80,100,2.82,CN,1699846951
295,porangatu,-13.4408,-49.1486,298.79,46,8,1.13,BR,1699846951
296,badger,64.8,-147.5333,261.68,85,20,0.0,US,1699846951
297,isangel,-19.55,169.2667,299.21,73,75,4.63,VU,1699846951
298,horodnya,51.8909,31.5974,278.9,83,98,7.03,UA,1699846951
299,necochea,-38.5473,-58.7368,280.98,63,0,2.76,AR,1699846951
300,salalah,17.0151,54.0924,298.2,53,0,2.57,OM,1699846951
301,khandud,36.9513,72.318,271.12,56,36,0.52,AF,1699846951
302,bamboo flat,11.7,92.7167,299.2,89,100,1.03,IN,1699846952
303,nieuw amsterdam,5.8833,-55.0833,299.83,87,1,4.3,SR,1699846952
304,seybaplaya,19.65,-90.6667,299.85,81,38,3.67,MX,1699846952
305,palmer,42.1584,-72.3287,272.88,79,0,1.54,US,1699846952
306,rocky mountain house,52.3668,-114.9188,272.21,59,100,2.57,CA,1699846952
307,nova sintra,14.8667,-24.7167,296.39,67,53,3.03,CV,1699846952
308,neryungri,56.6709,124.6491,263.3,84,97,3.16,RU,1699846952
309,novodvinsk,64.4165,40.8122,266.36,90,70,4.9,RU,1699846953
310,fort st. john,56.2499,-120.8529,271.09,74,75,3.09,CA,1699846764
311,suoyarvi,62.0833,32.35,272.22,88,100,6.05,RU,1699846953
312,tokar,18.4254,37.729,301.47,73,18,4.07,SD,1699846953
313,anna regina,7.2644,-58.5077,300.56,79,20,4.31,GY,1699846953
314,sretensk,52.2453,117.7093,268.82,61,17,1.17,RU,1699846953
315,toropets,56.4978,31.6353,273.9,97,100,4.11,RU,1699846953
316,howard springs,-12.497,131.047,306.38,59,47,3.33,AU,1699846954
317,chibougamau,49.9168,-74.3659,266.94,93,100,3.09,CA,1699846775
318,ad dawadimi,24.5077,44.3924,290.79,47,99,4.2,SA,1699846954
319,novaya igirma,57.1334,103.9112,266.72,76,89,2.32,RU,1699846954
320,hadibu,12.65,54.0333,300.14,82,55,5.82,YE,1699846954
321,pangoa,-12.1167,-73.0,294.17,99,94,1.31,PE,1699846954
322,campo verde,-20.4167,-54.0667,300.69,37,8,2.97,BR,1699846954
323,luderitz,-26.6481,15.1594,290.54,58,0,7.43,NA,1699846753
324,san juan de miraflores,-12.1629,-76.9635,293.24,83,69,3.33,PE,1699846954
325,kushiro,42.975,144.3747,278.68,48,75,0.51,JP,1699846955
326,crescent city,41.756,-124.2018,287.69,82,75,7.72,US,1699846705
327,maicanesti,45.5,27.5,278.3,62,2,0.58,RO,1699846955
328,mount gambier,-37.8333,140.7667,291.33,44,33,4.7,AU,1699846742
329,dryden,49.7833,-92.7503,276.31,87,100,8.23,CA,1699846955
330,labytnangi,66.6572,66.4183,260.4,89,23,3.62,RU,1699846955
331,mar del plata,-38.0023,-57.5575,284.19,75,0,2.06,AR,1699846802
332,bidar,17.9,77.55,298.37,53,40,3.78,IN,1699846956
